word,value,uniqueness,count
theor,35.8594,5,302768.0
thore,35.8594,5,30832.0
throe,35.8594,5,0.0
toher,35.8594,5,0.0
pilea,35.8585,5,0.0
abote,35.8437,5,0.0
eoith,35.8233,5,0.0
aiver,35.790400000000005,5,0.0
vaire,35.7904,5,0.0
larin,35.766000000000005,5,28518.0
ranli,35.766,5,0.0
lamer,35.7404,5,148317.0
realm,35.7404,5,6122762.0
agent,35.7331,5,57103658.0
etang,35.7331,5,33118.0
trend,35.731300000000005,5,15747018.0
drent,35.7313,5,0.0
haler,35.7309,5,0.0
harle,35.7309,5,65954.0
atule,35.728300000000004,5,0.0
lutea,35.728300000000004,5,94001.0
aleut,35.7283,5,121785.0
dates,35.727700000000006,5,38442243.0
sated,35.7277,5,88075.0
sedat,35.7277,5,21764.0
stade,35.7277,5,347571.0
stead,35.7277,5,724786.0
tsade,35.7277,5,0.0
prone,35.7266,5,3001079.0
aesop,35.723,5,499263.0
paseo,35.723,5,835840.0
psoae,35.723,5,0.0
greit,35.7078,5,0.0
tiger,35.7078,5,13763074.0
tigre,35.7078,5,412461.0
frena,35.7047,5,0.0
refan,35.7047,5,0.0
email,35.7043,5,443949646.0
maile,35.7043,5,246432.0
malie,35.7043,5,24183.0
melia,35.7043,5,858360.0
detin,35.6952,5,0.0
ident,35.6952,5,808896.0
teind,35.6952,5,0.0
tined,35.6952,5,14541.0
aloed,35.6945,5,0.0
opine,35.6905,5,103450.0
clite,35.6845,5,0.0
licet,35.6845,5,15800.0
telic,35.6845,5,71928.0
latro,35.681200000000004,5,0.0
rotal,35.681200000000004,5,0.0
toral,35.681200000000004,5,75729.0
usnea,35.6776,5,30010.0
enray,35.670500000000004,5,0.0
yearn,35.670500000000004,5,300957.0
renay,35.670500000000004,5,24985.0
sieur,35.652300000000004,5,61710.0
talio,35.6451,5,0.0
cines,35.6338,5,31971.0
senci,35.6338,5,0.0
since,35.6338,5,214302926.0
arson,35.6305,5,989351.0
orans,35.6305,5,0.0
rason,35.6305,5,0.0
roans,35.6305,5,28190.0
saron,35.6305,5,29644.0
sonar,35.6305,5,1341822.0
enorm,35.5724,5,26155.0
moner,35.5724,5,0.0
morne,35.5724,5,89583.0
heron,35.5629,5,1576813.0
honer,35.5629,5,23567.0
outen,35.560300000000005,5,48182.0
hosea,35.5593,5,1060033.0
oshea,35.5593,5,0.0
cotes,35.54900000000001,5,205184.0
coset,35.549,5,87359.0
escot,35.549,5,0.0
estoc,35.549,5,0.0
scote,35.549,5,0.0
beano,35.547200000000004,5,358497.0
noemi,35.536300000000004,5,73721.0
monie,35.5363,5,54001.0
paste,35.510400000000004,5,8913055.0
pates,35.510400000000004,5,133896.0
peats,35.510400000000004,5,35728.0
septa,35.510400000000004,5,203819.0
spate,35.510400000000004,5,357156.0
tapes,35.510400000000004,5,9719559.0
tepas,35.510400000000004,5,0.0
korea,35.5033,5,30582894.0
lated,35.4819,5,467007.0
taled,35.4819,5,0.0
adlet,35.4819,5,0.0
dealt,35.4819,5,6174968.0
delta,35.4819,5,28051872.0
tawer,35.479,5,0.0
water,35.479,5,215178488.0
wreat,35.479,5,0.0
inept,35.477900000000005,5,458533.0
nepit,35.4779,5,0.0
pinte,35.4779,5,0.0
olpae,35.4772,5,0.0
kioea,35.4672,5,0.0
agers,35.4438,5,180316.0
garse,35.4438,5,0.0
gears,35.4438,5,2626927.0
rages,35.4438,5,359354.0
sager,35.4438,5,511124.0
sarge,35.4438,5,1013607.0
segar,35.4438,5,45150.0
tawie,35.4429,5,0.0
ulnae,35.4318,5,0.0
alenu,35.4318,5,0.0
andes,35.431200000000004,5,1076878.0
danes,35.431200000000004,5,809689.0
sedan,35.431200000000004,5,4769270.0
snead,35.431200000000004,5,175337.0
deans,35.4312,5,1202452.0
saned,35.4312,5,0.0
alces,35.420500000000004,5,37564.0
alecs,35.420500000000004,5,0.0
casel,35.420500000000004,5,0.0
claes,35.420500000000004,5,215104.0
laces,35.420500000000004,5,610254.0
scale,35.420500000000004,5,46307526.0
rants,35.4179,5,3561826.0
starn,35.4179,5,18604.0
tarns,35.4179,5,0.0
trans,35.4179,5,14243681.0
grein,35.411300000000004,5,22178.0
inger,35.411300000000004,5,158785.0
nigre,35.411300000000004,5,0.0
regin,35.411300000000004,5,20756.0
reign,35.411300000000004,5,3505605.0
ringe,35.411300000000004,5,200666.0
renig,35.4113,5,0.0
eruca,35.4078,5,0.0
aegis,35.407700000000006,5,1349788.0
geisa,35.407700000000006,5,0.0
uriel,35.4065,5,128475.0
dries,35.4059,5,894704.0
rides,35.4059,5,6461201.0
sider,35.4059,5,543665.0
sired,35.4059,5,220280.0
resid,35.405899999999995,5,1318706.0
cinel,35.388,5,0.0
cline,35.388,5,1061564.0
incle,35.388,5,0.0
laron,35.3847,5,40103.0
loran,35.3847,5,223906.0
antis,35.381800000000005,5,61179.0
satin,35.381800000000005,5,6620674.0
stain,35.381800000000005,5,3512824.0
saint,35.3818,5,38929141.0
sanit,35.3818,5,43358.0
tains,35.3818,5,158156.0
mates,35.3562,5,2878121.0
meats,35.3562,5,2168286.0
metas,35.3562,5,37845.0
satem,35.3562,5,0.0
steam,35.3562,5,11141309.0
stema,35.3562,5,0.0
